date,passengers
1949-01-31,112
1949-02-28,118
1949-03-31,132
1949-04-30,129
1949-05-31,121
1949-06-30,135
1949-07-31,148
1949-08-31,148
1949-09-30,136
1949-10-31,119
1949-11-30,104
1949-12-31,118
1950-01-31,115
1950-02-28,126
1950-03-31,141
1950-04-30,135
1950-05-31,125
1950-06-30,149
1950-07-31,170
1950-08-31,170
1950-09-30,158
1950-10-31,133
1950-11-30,114
1950-12-31,140
1951-01-31,145
1951-02-28,150
1951-03-31,178
1951-04-30,163
1951-05-31,172
1951-06-30,178
1951-07-31,199
1951-08-31,199
1951-09-30,184
1951-10-31,162
1951-11-30,146
1951-12-31,166
1952-01-31,171
1952-02-29,180
1952-03-31,193
1952-04-30,181
1952-05-31,183
1952-06-30,218
1952-07-31,230
1952-08-31,242
1952-09-30,209
1952-10-31,191
1952-11-30,172
1952-12-31,194
1953-01-31,196
1953-02-28,196
1953-03-31,236
1953-04-30,235
1953-05-31,229
1953-06-30,243
1953-07-31,264
1953-08-31,272
1953-09-30,237
1953-10-31,211
1953-11-30,180
1953-12-31,201
1954-01-31,204
1954-02-28,188
1954-03-31,235
1954-04-30,227
1954-05-31,234
1954-06-30,264
1954-07-31,302
1954-08-31,293
1954-09-30,259
1954-10-31,229
1954-11-30,203
1954-12-31,229
1955-01-31,242
1955-02-28,233
1955-03-31,267
1955-04-30,269
1955-05-31,270
1955-06-30,315
1955-07-31,364
1955-08-31,347
1955-09-30,312
1955-10-31,274
1955-11-30,237
1955-12-31,278
1956-01-31,284
1956-02-29,277
1956-03-31,317
1956-04-30,313
1956-05-31,318
1956-06-30,374
1956-07-31,413
1956-08-31,405
1956-09-30,355
1956-10-31,306
1956-11-30,271
1956-12-31,306
1957-01-31,315
1957-02-28,301
1957-03-31,356
1957-04-30,348
1957-05-31,355
1957-06-30,422
1957-07-31,465
1957-08-31,467
1957-09-30,404
1957-10-31,347
1957-11-30,305
1957-12-31,336
1958-01-31,340
1958-02-28,318
1958-03-31,362
1958-04-30,348
1958-05-31,363
1958-06-30,435
1958-07-31,491
1958-08-31,505
1958-09-30,404
1958-10-31,359
1958-11-30,310
1958-12-31,337
1959-01-31,360
1959-02-28,342
1959-03-31,406
1959-04-30,396
1959-05-31,420
1959-06-30,472
1959-07-31,548
1959-08-31,559
1959-09-30,463
1959-10-31,407
1959-11-30,362
1959-12-31,405
1960-01-31,417
1960-02-29,391
1960-03-31,419
1960-04-30,461
1960-05-31,472
1960-06-30,535
1960-07-31,622
1960-08-31,606
1960-09-30,508
1960-10-31,461
1960-11-30,390
1960-12-31,432
